,Born,Died,Occupation,Parent(s),name,Citizenship,Spouse(s),Institution,Field,School ortradition,Alma mater,Doctoraladvisor,Doctoralstudents,Influences,Awards,Nationality,Contributions,Known for,Preceded by,Alma mater,Profession,Website,Institutions,Fields,Notable work,Thesis,Prime Minister,Succeeded by,Political party,Other politicalaffiliations,Signature,Doctoral advisor,Doctoral students,Deputy,Secretary-General,Children,Education,Venerated in,Canonized,Major shrine,Feast,Attributes,Patronage,President,Era,Region,School,Notable students,Main interests,Notable ideas,Genre,Notable works,Notable awards,Spouse,Employer,Net worth,Relations,Nickname(s),Serving with,Constituency,Influenced,Premier,Other notable students,Governor,Resting place,Title,Successor,Nominated by,Majority,Parents,Known for,Appointed by,Date of birth,Place of birth,Knessets,2006–2015,2009–2011,Monarch,Governor General,Leader,Relatives,Disappeared,Status,Chair,Tradition or movement,Academic advisors,Residence,Allegiance,Service/branch,Years of service,Rank,Unit,Academicadvisors,Vice Chancellor,Bundestag Leader,Chancellor,Branch/service,Battles/wars,Other academic advisors,Discipline,School or tradition,Director,Origin,Genres,Occupation(s),Years active,Labels,Associated acts,Authority control ,Other names,First Deputy,Other notable students,Years active,GovernorGeneral,Sub-discipline,Family,Cause of death,Cause of death,Vice Premier,Cabinet,Religion,Denomination,Jurisprudence,Creed,Main interest(s),Notable idea(s),Vice President,Mother,Father,Predecessor,Board member of,Partner(s),House Speaker,Net worth,Pen name,Charges,Alias,Height,Weight,Added,Removed,Number,Motto,Formation,Founder,Type,Location,Revenue .mw-parser-output .nobold{font-weight:normal}(2018) ,Expenses (2018),Lieutenant Governor,Subject,First Mayor,Domestic partner,Hangul,Revised Romanization,McCune–Reischauer,Movement,Affiliation,Committees,General Manager,Church,Diocese,Appointed,In office,Consecration,Buried
270,"4 February 1906Constanţa, Kingdom of Romania","30 October 1994 (1994-10-31) (aged 88)Nashville, Tennessee, United States",,,Nicholas_Georgescu-Roegen,,"Otilia Georgescu-Roegen,b. Busuioc",,,,"University of Bucharest, Paris Institute of Statistics, University College London",,,"Aristotle,[1] Rudolf Clausius,[2]:187f Ernst Mach, Maurice Allais",The Harvie Branscomb Award,Romanian,,"Utility theory, consumer choice theory, production theory, biophysical economics, ecological economics",,,,,"University of Bucharest(1932–46), Harvard University(1934–36), Vanderbilt University(1950–76), Graduate Institute of International Studies(1974), University of Strasbourg(1977–78)","Economics, mathematics, statistics",,,,,,,,,Herman Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Herman Daly, Jeremy Rifkin, Cutler J. Cleveland,[3] John M. Gowdy,[4] André Gorz,[5]:13 Joan Martinez Alier, Jacques Grinevald, Serge Latouche, Malte Michael Faber,[6]:105f Mauro Bonaiuti",,,,,,,,,,,,,,,,,,,,,,,,,"Traian Lalescu, Émile Borel, Karl Pearson, Joseph Schumpeter",,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad Yunus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271," (1951-03-31) March 31, 1951 (age 69)",,,,Mark_Gertler_(economist),,,New York University,MacroeconomicsMonetary economics,New Keynesian economics,Stanford UniversityUniversity of Wisconsin–Madison,Duncan K. Foley,,Ben Bernanke,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,"(1862-03-17)17 March 1862Sankt Vith, Prussia (present-day Belgium)","11 March 1930(1930-03-11) (aged 67)Oranienburg, Weimar Republic",,,Silvio_Gesell,,,,"Monetary theory, monetary and land reform",Freiwirtschaft,,,,Theodor HertzkaHenry George Pierre Joseph Proudhon,,German Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273, (1955-09-16) 16 September 1955 (age 64),,,,Jayati_Ghosh,,Abhijit Sen,Jawaharlal Nehru University,Development economics,,"University of Delhi (BA)Jawaharlal Nehru University (MA, MPhil)University of Cambridge (PhD)",Terence J. Byres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,"1956 (age 63–64)Brussels, Belgium",,,,Eric_Ghysels,,,University of North Carolina,FinanceFinancial econometrics,,Northwestern University,,,,,Belgian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,29 June 1847Uzès,February 1932Paris,,,Charles_Gide,,,,Theory of social economyHistory of economic thought,Historical school of economics,,,,,,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,"George Franklin Gilder[1] (1939-11-29) November 29, 1939 (age 80)New York City, New York, U.S.",,"Author, editor-in-chief of Gilder Technology ReportChairman, Gilder Publishing LLCSenior Fellow Discovery Institute",,George_Gilder,,,,,,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips Exeter Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, United States of America, U.S. Marine Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,"Herbert Malena Gintis (1940-02-11) February 11, 1940 (age 80)Philadelphia, USA",,,,Herbert_Gintis,,,,,,,,,"Karl Polanyi, Samuel Bowles, E.O. Wilson",,American,,,,"
University of Pennsylvania (BA)
Harvard University (PhD)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Economics, Behavioral science, Sociobiology",,,"
Schooling in Capitalist America (1976)
Democracy and Capitalism (1986)
The Bounds of Reason (2009)
A Cooperative Species (2011)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278," (1967-05-01) May 1, 1967 (age 53)Manhattan, New York, United States",,,,Edward_Glaeser,,,,Economics,,Princeton UniversityUniversity of Chicago,José Scheinkman,Jesse Shapiro,"Jane Jacobs, Robert Lucas, Gary Becker",,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,"(1756-03-03)3 March 1756Wisbech, Cambridgeshire, England","7 April 1836(1836-04-07) (aged 80)London, England",,,William_Godwin,,Mary Wollstonecraft(m. 1797; died 1797)Mary Jane Clairmont (m. 1801),,,,,,,,,,,,,,,,,,"Enquiry Concerning Political Justice, Things as They Are",,,,,,,,,,,,,,,,,,,,19th-century philosophy,Western philosophy,Philosophical anarchismUtilitarianism,,"Social philosophy, political philosophy, ethics",Anarchism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280," (1946-05-14) May 14, 1946 (age 74)New York City, New York, United
 States",,,,Claudia_Goldin,,,Harvard University NBER,Labor economicsEconomic History,,"Cornell University (B.A.)University of Chicago (M.A., Ph.D.)",,,,IZA Prize in Labor Economics (2016),American,,,,,,https://scholar.harvard.edu/goldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281, (1936-10-23) 23 October 1936 (age 83),,,,Charles_Goodhart,,,,,,"
Trinity College, Cambridge
Harvard University
",,,,,British,Goodhart's law,,,,,,"
University of Cambridge
Department of Economic Affairs
London School of Economics
Bank of England
Hong Kong Exchange Fund
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,"George Jerome Waldo Goodman(1930-08-10)August 10, 1930St. Louis, Missouri, U.S.","January 3, 2014(2014-01-03) (aged 83)Miami, Florida, U.S.",,,George_Goodman,,Sally Brophy (1961–2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Harvard University (BA)Brasenose College, Oxford (BLitt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,"Austan Dean Goolsbee (1969-08-18) August 18, 1969 (age 50)Waco, Texas, U.S.",,,,Austan_Goolsbee,,,,,,,,,,,,,,Christina Romer,,,,,,,,,Alan Krueger,Democratic,,,,,,,,"Yale University (BA, MA)Massachusetts Institute of Technology (PhD)",,,,,,,Barack Obama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,"(1920-10-15)October 15, 1920","July 5, 2010(2010-07-05) (aged 89)Summit, New Jersey",,,Myron_J._Gordon,,,University of Toronto,Financial economics,Post-Keynesian economics,Wisconsin-Madison (B.A. 1941)Harvard (Ph.D. 1947),,,John Maynard Keynes,"Ford Foundation Faculty Fellow (1963)Connaught Faculty Fellow (1982)President, American Finance Association (1975)Fellow, Royal Society of Canada (1993)Honorary Doctor of Laws, McMaster University (1993)Honorary Doctor of Laws, University of Toronto (2005)",American,Gordon model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285," (1940-09-03) September 3, 1940 (age 79)",,,,Robert_J._Gordon,,,Northwestern University,MacroeconomicsSocial economics,New Keynesian economics,Harvard University (1962)Oxford University (1964)MIT (1967),Robert Solow[1],,,,American,Core inflationProductivityGrowth theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,c. 1951,,,,Gary_Gorton,,,Yale School of Management,Macroeconomics,,University of Rochester (PhD 1983)Cleveland State University (M.A. 1977)University of Michigan (M.A. 1974)  Oberlin College (B.A. 1973),,,Robert Barro  Robert King,,United States,Panic of 2007  Shadow banking system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,(1810-09-07)7 September 1810Düren,"February 13, 1858(1858-02-13) (aged 47)Cologne",,,Hermann_Heinrich_Gossen,,,,Microeconomics,,University of Bonn,,,,,Prussian,General theory of marginal utilityGossen's laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1949 (age 70–71),,,,Christian_Gouri%C3%A9roux,,,,,,University of Rouen,,,,,French,,,,,,,University of TorontoCenter for Research in Economics and Statistics,StatisticsEconometrics,,,,,,,,Jean-Pierre Raoult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,"Benjamin Grossbaum(1894-05-09)May 9, 1894London, England, UK","September 21, 1976(1976-09-21) (aged 82)Aix-en-Provence, France",,,Benjamin_Graham,,,"Columbia UniversityUniversity of California, Los Angeles",,,Columbia University,,,,,American,Security Analysis (1934)The Intelligent Investor (1949)Benjamin Graham formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,"William Philip Gramm (1942-07-08) July 8, 1942 (age 77)Fort Benning, Georgia, U.S.",,,,Phil_Gramm,,Wendy Lee,,,,,,,,,,,,Himself,,,,,,,,,Joe Barton,Democratic (before 1983)Republican (1983–present),,,,,,,,"University of Georgia (BA, MA, PhD)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,"(1934-09-04)4 September 1934Swansea, Wales, U.K.","27 May 2009(2009-05-27) (aged 74)San Diego, California, U.S.",,,Clive_Granger,,,"Erasmus University RotterdamUniversity of California, San DiegoUniversity of Nottingham",Financial economicsEconometrics,,University of Nottingham,Harry Pitt,Mark WatsonTim Bollerslev,David HendryNorbert WienerJohn Denis SarganAlok Bhargava,Nobel Memorial Prize in Economic Sciences (2003),United Kingdom,CointegrationGranger causalityAutoregressive fractionally integrated moving average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292," (1941-05-11) May 11, 1941 (age 79)",,,,George_Grantham_(economic_historian),,,McGill University,"Economic history, Agricultural economics",,Yale University (M.A. and Ph.D.(M.A.),,,John Maynard KeynesAdam Smith,Clio Can 2000,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293," (1926-03-06) March 6, 1926 (age 94)New York City, New York, U.S.",,,,Alan_Greenspan,,Joan Mitchell Blumenthal(m. 1952; annulled 1953)Andrea Mitchell (m. 1997),,,,,,,,,,,,Herbert Stein,,,,,,,,,Charles Schultze,Republican,,,,,"
Manley Johnson
David Mullins
Alice Rivlin
Roger Ferguson
",,,"
Juilliard School
New York University (BA, MA, PhD)
Columbia University
",,,,,,,Gerald Ford,,,,,,,,,,,,,,,,,,,,,,,,Ronald Reagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294," (1947-06-05) June 5, 1947 (age 73)",,,,Stephany_Griffith-Jones,,,Initiative for Policy Dialogue Overseas Development Institute,Financial economicsDevelopment economics,New Keynesian economics,University of Chile (B.A. 1971)Cambridge University (Ph.D. 1981),,,John Maynard KeynesHyman MinskyJames TobinCharles P. KindlebergerJohn Kenneth GalbraithJoseph Stiglitz,Distinguished Czech Woman of the World Award (2006)ALIDE prize for best essay on Latin America's international finance (1983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,"(1930-09-12)12 September 1930Kaunas, Lithuania","4 November 1999(1999-11-04) (aged 69)Cambridge, Massachusetts",,,Zvi_Griliches,,,,Economics,,University of ChicagoUC Berkeley,Theodore SchultzArnold Harberger,Yehuda GrunfeldG. S. MaddalaRobert BarroAriel PakesDavid NeumarkEli Berman,Arnold Harberger,John Bates Clark Medal (1965),,Theoretical and applied econometrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,"25 November 1899Waukomis, Oklahoma, U.S.",7 April 1983,Economist,,Elgin_Groseclose,,Louise Groseclose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 daughters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297," (1955-12-11) December 11, 1955 (age 64)New York City, U.S.",,,,Gene_Grossman,United States,,Princeton University,International tradePolitical economyEconomic growth,,MIT (Ph.D.)Yale University (B.A.),Jagdish N. Bhagwati[1],,,Onassis Prize,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,"(1881-04-14)14 April 1881Kraków, Austrian Poland","24 November 1950(1950-11-24) (aged 69)Leipzig, East Germany",,,Henryk_Grossman,,,,,Marxian economics,,,,"Carl Grünberg, Karl Marx, Jean de Sismondi[1]",,Polish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299," (1965-09-30) September 30, 1965 (age 54)",,,,Jonathan_Gruber_(economist),,,Massachusetts Institute of Technology,Health economics,,"Massachusetts Institute of Technology (BS)Harvard University (MA, PhD)",Lawrence F. Katz[1],Susan Dynarski[2] Amy Finkelstein[3]Melissa KearneyEbonya Washington[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300," (1955-12-14) 14 December 1955 (age 64)San José, Costa Rica",,,,Rebeca_Grynspan,,Saúl Weisleder,,,,,,,,,,,,Arnoldo López Echandi,Hebrew University of JerusalemUniversity of Costa RicaUniversity of Sussex,,,,,,,,Elizabeth Odio Benito,National Liberation Party,,,,,,Ban Ki-moon,2,,,,,,,,José María Figueres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,Faruk_G%C3%BCl,,,,,,,Hugo F. Sonnenschein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,"(1911-12-13)13 December 1911Skedsmo, Norway","26 July 1999(1999-07-26) (aged 87)Oslo, Norway",,,Trygve_Haavelmo,,,University of AarhusUniversity of ChicagoUniversity of OsloUniversity College London,"Macroeconomics, econometrics",Neo-Keynesian economics,University of Oslo,,,John Maynard KeynesRagnar FrischJan Tinbergen,Nobel Memorial Prize in Economic Sciences (1989),Norway,Probability approach in econometricsBalanced budget multiplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,"(1900-07-20)July 20, 1900Purkersdorf, Austria-Hungary","May 6, 1995(1995-05-06) (aged 94)Washington, D.C.",,,Gottfried_Haberler,,,Harvard University,International economics,Austrian School,University of Vienna,Othmar SpannLudwig von Mises,Richard E. Caves,Friedrich von Wieser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1740,1825,Physician,,Charles_Hall_(economist),,,,,,,,,,,English,,Critic of capitalism and early socialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305," (1943-08-13) August 13, 1943 (age 76)Palo Alto, California, U.S.",,,,Robert_Hall_(economist),,Susan E. Woodward,Stanford University,Macroeconomics,,"Massachusetts Institute of TechnologyUniversity of California, Berkeley",Robert Solow,,,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,"(1947-11-01)1 November 1947London, United Kingdom",31 December 2019(2019-12-31) (aged 72),,,Andrew_Hughes_Hallett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of Warwick (BA)  London School of Economics (MSc)  Nuffield College, Oxford (DPhil)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Economic policy and coordination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307," (1955-12-12) December 12, 1955 (age 64)",,,,John_Haltiwanger,,,,,,Johns Hopkins UniversityBrown University,,,,,American,,,,,,,University of Maryland-College Park,Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308," (1943-10-20) October 20, 1943 (age 76)",,,,Daniel_S._Hamermesh,,,University of Texas at Austin(1993–2014) Royal Holloway University of London(2012–present),Labor economics,,Yale University (Ph.D.) 1969 University of Chicago (B.A.) 1965,Marc Nerlove,,,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309," (1954-11-29) November 29, 1954 (age 65)",,,,James_D._Hamilton,,,"University of California, San Diego",Econometrics,,"University of California, Berkeley",,,,Research Associate with the National Bureau of Economic Research; Best Paper Award for 2010-2011 from the International Institute of Forecasters; 2014 award for Outstanding Contributions to the Profession from the International Association for Energy Economics,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310," (1942-12-29) December 29, 1942 (age 77)Macon, Georgia, United States",,,,Steve_H._Hanke,,,"Colorado School of Mines  University of California, Berkeley  Johns Hopkins University",Monetary economics  Natural resource economics  Financial economics  International economics,Free-market economics,University of Colorado Boulder,,,Friedrich Hayek  Milton Friedman  Robert Mundell  Kenneth Boulding  Peter Thomas Bauer  Ronald Coase,,American,Currency board Research  Dollarization Research  Hyperinflation Research  Hanke-Henry Permanent Calendar  Privatization Research  Water resources Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,"(1887-08-23)August 23, 1887Viborg, South Dakota","June 6, 1975(1975-06-06) (aged 87)Alexandria, Virginia",,,Alvin_Hansen,,,Harvard University,"Macroeconomics, political economics",Neo-Keynesian economics,University of Wisconsin–MadisonYankton College,,,John Maynard Keynes,,Danish-American,IS–LM model  (Hicks–Hansen synthesis)Secular stagnation theory,,,,,,,,,"Cycles of prosperity and depression in the United States, Great Britain and Germany; a study of monthly data 1902-1908 (1918)",,,,,,Richard T. ElyJohn R. CommonsFrederic L. Paxson,Evsey DomarEva MuellerHyman MinskyRichard MusgraveLloyd Metzler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
